go_bin	GO_ID	evidence_bin	n_unique_genes
BP_function	GO:0000380	experimental	11
BP_function	GO:0000380	non_experimental_or_assertion	12
BP_function	GO:0000381	experimental	75
BP_function	GO:0000381	non_experimental_or_assertion	37
BP_function	GO:0000398	experimental	15
BP_function	GO:0000398	non_experimental_or_assertion	214
BP_function	GO:0008380	experimental	13
BP_function	GO:0008380	non_experimental_or_assertion	10
BP_function	GO:0043484	experimental	5
BP_function	GO:0043484	non_experimental_or_assertion	9
BP_function	GO:0048024	experimental	6
BP_function	GO:0048024	non_experimental_or_assertion	5
CC_component	GO:0005681	non_experimental_or_assertion	52
CC_component	GO:0005682	non_experimental_or_assertion	21
CC_component	GO:0005684	non_experimental_or_assertion	8
CC_component	GO:0005685	non_experimental_or_assertion	20
CC_component	GO:0005686	experimental	2
CC_component	GO:0005686	non_experimental_or_assertion	26
CC_component	GO:0046540	non_experimental_or_assertion	33
CC_component	GO:0071011	experimental	141
CC_component	GO:0071011	non_experimental_or_assertion	21
CC_component	GO:0071013	experimental	118
CC_component	GO:0071013	non_experimental_or_assertion	45
CC_component	GO:0097526	non_experimental_or_assertion	6
