stage	mean_expression_across_candidates	median_expression_across_candidates	sd_expression_across_candidates
embryo_10h	8.853204395812982	8.716753526961883	1.856195558903006
larvae_1instar	8.374185717069045	8.365048914164456	1.7335618485386102
larvae_2instar	8.29947131338954	8.32145830778553	1.7137054994392866
larvae_3instar	8.352652076543684	8.39397195341309	1.589098044177316
pupae_P1	8.411674047675563	8.245960546235422	1.5103281723994972
pupae_P2	8.392962124942384	8.211107893092743	1.4782317543124537
pupae_P3	8.32235693591888	8.211805649188538	1.456170818978988
pupae_P4	8.309149316970558	8.137310374577485	1.3695401870659039
pupae_P5	8.514271450676349	8.364985850603533	1.3960260638078463
pupae_24h	8.588914718016323	8.521162269771	1.4461888624774415
pupae_48h	8.24980537841288	8.093115521004258	1.3151075570553086
imago_5d	8.076180568142835	7.923480056551796	1.3461466840769796
