FlyBase_FBgn	DB_Object_Symbol	DB_Object_Name	go_bin	embryo_10h	larvae_1instar	larvae_2instar	larvae_3instar	pupae_P1	pupae_P2	pupae_P3	pupae_P4	pupae_P5	pupae_24h	pupae_48h	imago_5d	mean_pupal_expression
FBgn0266599	Hsc70-4	Heat shock protein 70 cognate 4	BP_function;CC_component	14.66350726452024	15.614170414982793	15.984162164186694	14.38235224480066	15.112330205427595	14.912466461394756	14.700768538819695	14.07903957651016	14.643185023604891	14.764992901651416	14.295720429875745	14.105081540185386	14.644071876754893
FBgn0001942	eIF4A	eukaryotic translation initiation factor 4A	BP_function	14.135585837882	14.457708960292376	14.707265281056792	15.086624258812858	14.449256928993776	14.472417740037288	14.606887183295717	14.153591571669693	14.389289008605282	14.89957605185832	14.456576754388012	13.852567092510128	14.489656462692583
FBgn0265297	pAbp	poly(A) binding protein	BP_function;CC_component	13.775362749677436	13.670225178776738	13.802564644428347	12.30567881891776	13.230681016832762	13.033727222322872	12.925107289941797	12.514001951366234	12.209937802208435	11.561354148168116	12.509857187785215	13.152363923619601	12.569238088375062
FBgn0003261	Rm62	Rm62	BP_function;CC_component	13.745378191304175	13.150504680145824	12.314483216190936	11.399880317724689	12.174952468289716	12.013200275949123	11.815011275755944	11.708250314965085	12.24947019391376	12.156413787604235	12.039987446316703	11.709310772246411	12.022469394684936
FBgn0004401	Pep	Protein on ecdysone puffs	BP_function;CC_component	12.935333690934783	10.939760824566084	10.8267816882584	11.221816384569063	11.746707543657218	11.672275110826439	11.522045214509765	11.210393681384238	11.431979454138519	11.890417339555162	10.656684951696798	10.113432506028426	11.447214756538306
FBgn0004587	B52	B52	BP_function;CC_component	12.41073804532265	12.088056059518191	11.881025289004114	11.396686063579205	11.383062069419061	11.254644974749901	11.3096803842962	11.219921557676772	11.551416922424437	11.983634103577737	10.884826450009944	10.187216991310992	11.369598066022007
FBgn0263594	lost	lost	BP_function;CC_component	11.43858337965125	12.324404288270316	12.589607695901602	11.0474380292342	11.460194359499205	11.254791791648145	11.5069176125849	11.276099905713073	11.063992687496969	11.032567421167215	11.123260618674548	11.372421162371879	11.245403485254867
FBgn0001215	Hrb98DE	Heterogeneous nuclear ribonucleoprotein at 98DE	BP_function	12.580875632132004	10.594703693344831	10.611547616772828	10.456621578789472	11.194245935283865	11.336178573120662	11.261623319510152	11.137755312269357	11.332953162260916	11.369189666953396	10.615694121871348	10.830818738804515	11.178234298752812
FBgn0035692	Sf3b6	Splicing factor 3b subunit 6	BP_function;CC_component	9.75899705972739	9.791224670959457	10.106145813524185	9.789919256397557	10.979077984957426	11.1302835742516	11.048860651471314	10.942848094041956	11.419508744457994	11.151048641294599	10.621040792009106	8.90290977014043	11.041809783212
FBgn0022959	yps	ypsilon schachtel	BP_function;CC_component	11.776633916988688	11.993586003214885	11.875118691195087	10.409851487699877	11.211024864615382	11.105588996756147	10.957139100645739	10.563879760360797	10.957331438718954	11.152724495761156	11.268298701241838	11.20894599084554	11.03085533687143
FBgn0004237	Hrb87F	Heterogeneous nuclear ribonucleoprotein at 87F	BP_function	12.035562656035836	10.935017099447496	10.775556358757967	10.691124687631214	11.844102514963582	11.396956748062808	11.02110592809972	10.235725149038984	10.700194179482722	11.097986405786266	9.795706203435088	9.659181212901352	10.870253875552738
FBgn0014189	Hel25E	Helicase at 25E	BP_function;CC_component	11.811328051120876	11.496934893291993	11.827654354500693	10.651470265728658	10.823793123093061	10.814779169310548	10.682586788692504	10.370489368986812	11.189127171583175	11.484755961549164	10.3805333310666	9.501473307778324	10.82086641632598
FBgn0263396	sqd	squid	BP_function;CC_component	12.52909591473181	12.336684837304682	11.710916943191204	10.103855096230076	11.265883998968443	11.166390803180178	11.015655143187198	10.715231628761794	10.887098775576433	10.37725271652928	9.974520601488985	10.442417185660362	10.771719095384615
FBgn0262737	mub	mushroom-body expressed	BP_function	9.256275998310016	8.283573724943727	7.388372170243497	7.642971226354695	11.205919325138346	11.010152215050903	10.68992542560946	10.029521232744905	10.772549008687358	10.645538633450771	10.644315975849993	9.831659788477495	10.713988830933104
FBgn0011640	lark	lark	BP_function;CC_component	11.337198376100664	10.15826086669572	10.479344736861222	10.618942593006922	10.661233834718315	10.697551064713418	10.548058396906141	10.605906503614511	10.753400442407402	11.269290419192863	10.28062954020008	9.162057131654583	10.68801002882182
FBgn0283477	SF2	Splicing factor 2	BP_function;CC_component	11.569134216447212	10.70804267749686	10.516924947728455	10.832589425099032	10.686608331559457	10.793705124168843	10.665606064685818	10.51590904257924	10.986667818845481	10.905278612117618	10.245687028977946	9.61831341756118	10.68563743184777
FBgn0010774	Ref1	RNA and export factor binding protein 1	BP_function;CC_component	11.582199950678742	10.388077497793516	10.682414704466098	10.972180951652003	10.541621450485628	10.68033305184433	10.524104617562225	10.451175417895225	10.769131308293053	11.14512483643909	10.346188849120928	9.40880121557028	10.636811361662925
FBgn0004838	Hrb27C	Heterogeneous nuclear ribonucleoprotein at 27C	BP_function	12.9006024512501	11.52119090114888	11.392253860191987	10.256167129293122	11.719780292577923	11.558509196809721	11.018921233269936	10.691966271567678	10.560904642606692	9.23152104772925	9.444230835610924	10.744384864943584	10.603690502881733
FBgn0015778	rin	rasputin	CC_component	11.383532267534221	10.77115215122945	10.296949140442097	9.426135658156904	11.161449475910715	11.136261994028274	10.721658440307928	10.499751735410035	10.773402319612444	9.851202109058285	9.510467512676238	10.51015073521882	10.522027655286275
FBgn0038826	Syp	Syncrip	BP_function;CC_component	5.442773664544688	4.872363189003362	7.695252609780357	8.809538764991856	11.28981866527189	11.02347370671721	10.543379861050967	10.832739992162445	10.177455340672454	9.130973061205466	10.03724079340141	11.775906815754352	10.433583060068836
FBgn0265998	Doa	Darkener of apricot	BP_function	10.565882187170763	9.134896225959286	9.249919756975334	8.534718742936018	11.829058474660917	11.37319220110489	10.449520669888829	9.852929188059148	10.789464452115661	9.091060797660775	9.567261358941023	8.76410218460656	10.421783877490176
FBgn0035720	CG10077		BP_function	11.993134564378606	10.511750741087353	9.746459265013996	9.67855708357389	10.57105224325244	10.54481411402766	10.307565719344671	10.647581137137868	10.291013783977855	9.98450447540252	10.24722931713623	11.463592137074002	10.370537255754178
FBgn0267791	HnRNP-K	Heterogeneous nuclear ribonucleoprotein K	BP_function	11.52813076328914	9.84684906569908	9.70264553080987	10.35823286617009	10.481158694794969	10.293537941172433	10.247348752230728	10.038541401086562	10.517422081614788	10.734487455213104	10.061047129060777	9.332204185716328	10.339077636453338
FBgn0002780	mod	modulo	BP_function	12.0637602076617	13.295219609833117	12.667614375595688	10.146323846232464	10.392061630416753	10.267368949064329	10.251348802069272	9.912628671500157	10.337001123615075	10.293421316004933	10.662399669233992	9.510927161069421	10.302318594557788
FBgn0285954	caz	cabeza	BP_function;CC_component	11.186939624934823	10.633871740265835	9.140277997341007	10.806347965463685	10.466229113807866	10.317337505536257	10.198039632006221	10.026066485408249	10.16416250446725	10.749730724186895	9.8777846043753	8.520897540414294	10.25705008139829
FBgn0011224	heph	hephaestus	BP_function	10.018865278360142	9.506519976494705	8.278226901183434	8.280528675186963	10.473376671032637	10.340617160819953	10.2410581231659	10.129871852664387	10.884388868515906	10.196412303645921	9.38452703248176	9.761758231779284	10.23575028747521
FBgn0020306	dom	domino	BP_function	11.697015576876682	10.870892418606656	10.825420873103171	9.799629159851426	10.650216848500913	10.337068324297894	10.051124497374396	10.80587310574438	10.405296510325366	9.985157892211491	9.404455759176546	9.312186015240497	10.234170419661568
FBgn0005411	U2af50	U2 small nuclear riboprotein auxiliary factor 50	BP_function;CC_component	10.893036805191665	10.09160902864086	10.14812265505855	10.224083614428448	9.795760209912478	9.79082246374902	9.977461644080009	10.111926493445884	10.369051031116697	10.779284672961808	10.318154610381427	9.381749543789944	10.163208732235331
FBgn0005649	Rox8	Rox8	BP_function;CC_component	10.982791306829169	9.480698933754509	9.262049986884858	9.112123228431493	10.721482750810294	10.694210571580173	10.404758439500482	10.141645159559944	10.385892418010643	9.602002868585984	9.036037359418913	9.165418543911985	10.14086136678092
FBgn0259139	glo	glorund	BP_function	11.34645211609164	9.874867986526812	9.348014782236984	9.66268225929178	10.438337848571246	10.394317574463827	10.045982975183662	9.939320716190684	10.225043109144288	10.349393647595546	9.36385239491618	8.80532760433559	10.108035466580775
FBgn0033688	Prp8	pre-mRNA processing factor 8	BP_function;CC_component	11.08389666862827	10.093313426326926	9.85450896391998	10.027418567617262	10.144240366881812	9.967275412442776	10.01757980368132	10.278746882637506	10.207228867879692	10.265440832676598	9.578051261598992	8.755667131222259	10.0655090611141
FBgn0003435	sm	smooth	BP_function	9.527669440745385	8.056985875988085	6.688042103265356	7.381304446250593	9.94051318843343	10.534581877220791	10.212056193636224	10.090900578038424	9.687162444848676	8.964617612692832	10.53458187221125	11.82528566540786	9.994916252440232
FBgn0029941	ZC3H18	Zinc finger CCCH-type containing 18	BP_function;CC_component	11.000166854322083	10.046572453115507	9.617116284627404	9.856554035844416	10.294918740736671	10.03933337996664	9.791028416116923	10.1478140678931	9.99066392486552	10.366571569790827	9.301402650911058	8.822447881693664	9.990247535754392
FBgn0024285	Srp54	Splicing regulatory protein 54	BP_function;CC_component	10.599183657998049	9.369711953497166	9.942520933915532	10.24909888920674	10.147358295489285	10.026811879512238	9.956448446871809	9.790254317020752	10.027998843278333	10.538094536467831	9.417498150939258	8.351100546868295	9.986352067082787
FBgn0050122	CG30122		BP_function;CC_component	11.290680314882119	9.955798710393418	9.740693804461948	10.060097539571323	10.216956323851676	9.974355800494408	9.767197789626735	9.94272832848055	10.023938444233517	10.131260033260547	9.519107129375032	9.134162237117605	9.939363407046065
FBgn0011305	Rsf1	Repressor splicing factor 1	BP_function	9.932443753317436	8.736811885252207	7.957562600405141	9.61947423829468	9.590450610343932	9.703907977154396	9.700791543233414	9.585109492071567	10.156682484927318	10.313033657806214	10.011114271766571	8.48893785444095	9.865870005329059
FBgn0265298	SC35	SR family splicing factor SC35	BP_function	11.167062332309783	10.474311385419696	10.609967688864415	10.46274454808637	9.725889241052402	9.607382877330311	9.681515773999541	9.69586226190503	10.0331868270224	10.348548902253205	9.712319525226343	8.74585671861626	9.829243629827033
FBgn0029133	REG	Proteasome regulator gamma	BP_function;CC_component	10.640754038582806	11.248145597447722	11.58308977582995	9.915787421094157	9.799568266219211	9.652493485494551	9.539972172297462	9.361020749973713	9.99489929392458	10.270831810860358	10.036381045560352	9.722162515653586	9.807880974904318
FBgn0035872	Cpsf6	Cleavage and polyadenylation specific factor 6	BP_function	10.84100898598652	9.666235301494988	9.786184482356724	9.4814882101245	9.973847933754426	9.949838412049466	9.698816298004761	9.527509194976142	9.947223478508802	10.176453193717302	9.158059401255953	8.403974343410033	9.775963987466694
FBgn0000615	exu	exuperantia	BP_function;CC_component	5.547586151296524	7.077014580649676	8.393206776446034	8.819128080883456	9.687198984000391	9.616064196844375	9.570748493691026	10.165477265248816	9.795040316053173	9.37521292222842	10.093343871590626	12.688186014554256	9.757583721379547
