go_bin	stage	expression
BP_function	embryo_10h	8.654116143783188
BP_function	imago_5d	8.080175057081812
BP_function	larvae_1instar	8.07346567174411
BP_function	larvae_2instar	7.801977205830513
BP_function	larvae_3instar	7.844754270448414
BP_function	pupae_24h	8.214175398600352
BP_function	pupae_48h	8.12556220501721
BP_function	pupae_P1	8.28836860370799
BP_function	pupae_P2	8.256391957785334
BP_function	pupae_P3	8.159890485620794
BP_function	pupae_P4	8.20028181221076
BP_function	pupae_P5	8.313289672653388
BP_function;CC_component	embryo_10h	9.043032792311172
BP_function;CC_component	imago_5d	8.136219180509046
BP_function;CC_component	larvae_1instar	8.600309301140207
BP_function;CC_component	larvae_2instar	8.61683139528627
BP_function;CC_component	larvae_3instar	8.67675485098765
BP_function;CC_component	pupae_24h	8.833024388358073
BP_function;CC_component	pupae_48h	8.373858964471264
BP_function;CC_component	pupae_P1	8.545774741046683
BP_function;CC_component	pupae_P2	8.528056550803528
BP_function;CC_component	pupae_P3	8.469069321936967
BP_function;CC_component	pupae_P4	8.427965206197346
BP_function;CC_component	pupae_P5	8.666922661048558
CC_component	embryo_10h	7.858379735045996
CC_component	imago_5d	7.359768305218696
CC_component	larvae_1instar	7.5705473193979005
CC_component	larvae_2instar	7.624216347534736
CC_component	larvae_3instar	7.662053581194879
CC_component	pupae_24h	8.02195243657062
CC_component	pupae_48h	7.564513059580203
CC_component	pupae_P1	7.6048787146007335
CC_component	pupae_P2	7.654294082952825
CC_component	pupae_P3	7.605072785632083
CC_component	pupae_P4	7.5920110897803825
CC_component	pupae_P5	7.959584825854624
